,countryiso3code,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Unnamed: 0,date,value,unit,obs_status,decimal,indicator.id,indicator.value,country.id,country.value
0,ETH,WOMENPOLVOICE,POLREPRES,PC,A,2019,38.8,800,2020,21.695,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ET,Ethiopia
1,ETH,WOMENPOLVOICE,POLREPRES,PC,A,2019,38.8,801,2019,21.225,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ET,Ethiopia
2,ETH,WOMENPOLVOICE,POLREPRES,PC,A,2019,38.8,802,2018,20.763,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ET,Ethiopia
3,ETH,WOMENPOLVOICE,POLREPRES,PC,A,2019,38.8,803,2017,20.31,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ET,Ethiopia
4,ETH,WOMENPOLVOICE,POLREPRES,PC,A,2019,38.8,804,2016,19.866,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ET,Ethiopia
5,ETH,WOMENPOLVOICE,POLREPRES,PC,A,2019,38.8,805,2015,19.428,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ET,Ethiopia
6,ETH,WOMENPOLVOICE,POLREPRES,PC,A,2019,38.8,806,2014,18.998,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ET,Ethiopia
7,ETH,WOMENPOLVOICE,POLREPRES,PC,A,2019,38.8,807,2013,18.575,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ET,Ethiopia
8,ETH,WOMENPOLVOICE,POLREPRES,PC,A,2019,38.8,808,2012,18.16,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ET,Ethiopia
9,ETH,WOMENPOLVOICE,POLREPRES,PC,A,2019,38.8,809,2011,17.735,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ET,Ethiopia
10,ETH,WOMENPOLVOICE,POLREPRES,PC,A,2019,38.8,810,2010,17.319000000000003,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ET,Ethiopia
11,ETH,WOMENPOLVOICE,POLREPRES,PC,A,2019,38.8,811,2009,16.91,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ET,Ethiopia
12,ETH,WOMENPOLVOICE,POLREPRES,PC,A,2019,38.8,812,2008,16.51,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ET,Ethiopia
