,countryiso3code,date,value,unit,obs_status,decimal,indicator.id,indicator.value,country.id,country.value
1,SSF,2019,63.4225793560335,,,0,SP.DYN.TO65.FE.ZS,"Survival to age 65, female (% of cohort)",ZG,Sub-Saharan Africa
2,SSF,2018,62.8955496049164,,,0,SP.DYN.TO65.FE.ZS,"Survival to age 65, female (% of cohort)",ZG,Sub-Saharan Africa
3,SSF,2017,62.3667973896492,,,0,SP.DYN.TO65.FE.ZS,"Survival to age 65, female (% of cohort)",ZG,Sub-Saharan Africa
4,SSF,2016,61.4350894714333,,,0,SP.DYN.TO65.FE.ZS,"Survival to age 65, female (% of cohort)",ZG,Sub-Saharan Africa
5,SSF,2015,60.5000074175082,,,0,SP.DYN.TO65.FE.ZS,"Survival to age 65, female (% of cohort)",ZG,Sub-Saharan Africa
6,SSF,2014,59.5664384065126,,,0,SP.DYN.TO65.FE.ZS,"Survival to age 65, female (% of cohort)",ZG,Sub-Saharan Africa
7,SSF,2013,58.6293643194686,,,0,SP.DYN.TO65.FE.ZS,"Survival to age 65, female (% of cohort)",ZG,Sub-Saharan Africa
8,SSF,2012,57.6891014357493,,,0,SP.DYN.TO65.FE.ZS,"Survival to age 65, female (% of cohort)",ZG,Sub-Saharan Africa
9,SSF,2011,56.3201134756015,,,0,SP.DYN.TO65.FE.ZS,"Survival to age 65, female (% of cohort)",ZG,Sub-Saharan Africa
10,SSF,2010,54.9492314185877,,,0,SP.DYN.TO65.FE.ZS,"Survival to age 65, female (% of cohort)",ZG,Sub-Saharan Africa
11,SSF,2009,53.5782250483635,,,0,SP.DYN.TO65.FE.ZS,"Survival to age 65, female (% of cohort)",ZG,Sub-Saharan Africa
12,SSF,2008,52.2035012465361,,,0,SP.DYN.TO65.FE.ZS,"Survival to age 65, female (% of cohort)",ZG,Sub-Saharan Africa
13,SSF,2007,50.8245281703178,,,0,SP.DYN.TO65.FE.ZS,"Survival to age 65, female (% of cohort)",ZG,Sub-Saharan Africa
14,SSF,2006,49.768909428634,,,0,SP.DYN.TO65.FE.ZS,"Survival to age 65, female (% of cohort)",ZG,Sub-Saharan Africa
15,SSF,2005,48.7172680463955,,,0,SP.DYN.TO65.FE.ZS,"Survival to age 65, female (% of cohort)",ZG,Sub-Saharan Africa
16,SSF,2004,47.6720269275663,,,0,SP.DYN.TO65.FE.ZS,"Survival to age 65, female (% of cohort)",ZG,Sub-Saharan Africa
17,SSF,2003,46.6299998790064,,,0,SP.DYN.TO65.FE.ZS,"Survival to age 65, female (% of cohort)",ZG,Sub-Saharan Africa
18,SSF,2002,45.5911901911304,,,0,SP.DYN.TO65.FE.ZS,"Survival to age 65, female (% of cohort)",ZG,Sub-Saharan Africa
19,SSF,2001,45.605247526798,,,0,SP.DYN.TO65.FE.ZS,"Survival to age 65, female (% of cohort)",ZG,Sub-Saharan Africa
20,SSF,2000,45.6257309668629,,,0,SP.DYN.TO65.FE.ZS,"Survival to age 65, female (% of cohort)",ZG,Sub-Saharan Africa
21,SSF,1999,45.6550185317561,,,0,SP.DYN.TO65.FE.ZS,"Survival to age 65, female (% of cohort)",ZG,Sub-Saharan Africa
22,SSF,1998,45.6865462981877,,,0,SP.DYN.TO65.FE.ZS,"Survival to age 65, female (% of cohort)",ZG,Sub-Saharan Africa
23,SSF,1997,45.7180391319377,,,0,SP.DYN.TO65.FE.ZS,"Survival to age 65, female (% of cohort)",ZG,Sub-Saharan Africa
24,SSF,1996,46.0996231793723,,,0,SP.DYN.TO65.FE.ZS,"Survival to age 65, female (% of cohort)",ZG,Sub-Saharan Africa
25,SSF,1995,46.4727475081356,,,0,SP.DYN.TO65.FE.ZS,"Survival to age 65, female (% of cohort)",ZG,Sub-Saharan Africa
26,SSF,1994,46.8386410105402,,,0,SP.DYN.TO65.FE.ZS,"Survival to age 65, female (% of cohort)",ZG,Sub-Saharan Africa
27,SSF,1993,47.1855243357258,,,0,SP.DYN.TO65.FE.ZS,"Survival to age 65, female (% of cohort)",ZG,Sub-Saharan Africa
28,SSF,1992,47.5128758021969,,,0,SP.DYN.TO65.FE.ZS,"Survival to age 65, female (% of cohort)",ZG,Sub-Saharan Africa
29,SSF,1991,47.561986610477,,,0,SP.DYN.TO65.FE.ZS,"Survival to age 65, female (% of cohort)",ZG,Sub-Saharan Africa
