,countryiso3code,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes,Unnamed: 0,Unnamed: 2,rural population (% of total),Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
0,ETH,VIOLWOMEN,LAWDOMVIOL,IDX,A,2019,0.5,,801,2019,78.775,,,0,SP.RUR.TOTL.ZS,Rural population (% of total population),ET,Ethiopia
1,MOZ,VIOLWOMEN,LAWDOMVIOL,IDX,A,2019,0.75,,1451,2019,63.472,,,0,SP.RUR.TOTL.ZS,Rural population (% of total population),MZ,Mozambique
2,NGA,VIOLWOMEN,LAWDOMVIOL,IDX,A,2019,0.75,,1601,2019,48.843,,,0,SP.RUR.TOTL.ZS,Rural population (% of total population),NG,Nigeria
3,ZAF,VIOLWOMEN,LAWDOMVIOL,IDX,A,2019,0.5,,1951,2019,33.144,,,0,SP.RUR.TOTL.ZS,Rural population (% of total population),ZA,South Africa
4,TZA,VIOLWOMEN,LAWDOMVIOL,IDX,A,2019,0.75,,2051,2019,65.5,,,0,SP.RUR.TOTL.ZS,Rural population (% of total population),TZ,Tanzania
5,ZMB,VIOLWOMEN,LAWDOMVIOL,IDX,A,2019,0.5,,2201,2019,55.928000000000004,,,0,SP.RUR.TOTL.ZS,Rural population (% of total population),ZM,Zambia
6,AGO,VIOLWOMEN,LAWDOMVIOL,IDX,A,2019,0.75,,1,2019,33.823,,,0,SP.RUR.TOTL.ZS,Rural population (% of total population),AO,Angola
7,BEN,VIOLWOMEN,LAWDOMVIOL,IDX,A,2019,0.5,,51,2019,52.138999999999996,,,0,SP.RUR.TOTL.ZS,Rural population (% of total population),BJ,Benin
8,BWA,VIOLWOMEN,LAWDOMVIOL,IDX,A,2019,0.75,,101,2019,29.828000000000003,,,0,SP.RUR.TOTL.ZS,Rural population (% of total population),BW,Botswana
9,BFA,VIOLWOMEN,LAWDOMVIOL,IDX,A,2019,0.75,,151,2019,70.02,,,0,SP.RUR.TOTL.ZS,Rural population (% of total population),BF,Burkina Faso
10,BDI,VIOLWOMEN,LAWDOMVIOL,IDX,A,2019,0.5,,201,2019,86.634,,,0,SP.RUR.TOTL.ZS,Rural population (% of total population),BI,Burundi
11,CMR,VIOLWOMEN,LAWDOMVIOL,IDX,A,2019,0.75,,301,2019,43.032,,,0,SP.RUR.TOTL.ZS,Rural population (% of total population),CM,Cameroon
